Dia,Hora,Temperatura,Umidade
01/01/17,12:00:00,26.4,84
01/01/17,12:15:00,26.2,82
01/01/17,12:30:00,26.4,81
01/01/17,12:45:00,26.2,82
01/01/17,01:00:00,25.4,82
01/01/17,01:15:00,25.2,84
01/01/17,01:30:00,24.9,87
01/01/17,01:45:00,24.7,88
01/01/17,02:00:00,24.7,87
01/01/17,02:15:00,24.5,86
01/01/17,02:30:00,24.2,87
01/01/17,02:45:00,24.2,86
01/01/17,03:00:00,24.5,87
01/01/17,03:15:00,24.7,88
01/01/17,03:30:00,24.2,89
01/01/17,03:45:00,24.2,90
01/01/17,04:00:00,24,91
01/01/17,04:15:00,23.7,92
01/01/17,04:30:00,23.7,91
01/01/17,04:45:00,23.7,88
01/01/17,05:00:00,23.7,88
01/01/17,05:15:00,24.2,85
01/01/17,05:30:00,23.7,87
01/01/17,05:45:00,24,86
01/01/17,06:00:00,23.7,87
01/01/17,06:15:00,24,87
01/01/17,06:30:00,24,87
01/01/17,06:45:00,23.7,88
01/01/17,07:00:00,23.7,89
01/01/17,07:15:00,24.5,86
01/01/17,07:30:00,25.4,81
01/01/17,07:45:00,26.7,76
01/01/17,08:00:00,27.4,70
01/01/17,08:15:00,28.4,67
01/01/17,08:30:00,28.6,67
01/01/17,08:45:00,28.6,65
01/01/17,09:00:00,28.6,63
01/01/17,09:15:00,29.1,64
01/01/17,09:30:00,30.1,60
01/01/17,09:45:00,30.6,61
01/01/17,10:00:00,31,59
01/01/17,10:15:00,30.3,61
01/01/17,10:30:00,31,56
01/01/17,10:45:00,32.3,55
01/01/17,11:00:00,32.5,48
01/01/17,11:15:00,33.2,51
01/01/17,11:30:00,33.2,47
01/01/17,11:45:00,33.2,44
01/01/17,12:00:00,33.5,43
01/01/17,12:15:00,34.5,43
01/01/17,12:30:00,34.5,41
01/01/17,12:45:00,35,41
01/01/17,01:00:00,35.4,40
01/01/17,01:15:00,36.7,40
01/01/17,01:30:00,35.2,42
01/01/17,01:45:00,35.9,44
01/01/17,02:00:00,35.7,43
01/01/17,02:15:00,35.2,48
01/01/17,02:30:00,35,46
01/01/17,02:45:00,35,47
01/01/17,03:00:00,34.7,46
01/01/17,03:15:00,34.5,51
01/01/17,03:30:00,33.7,55
01/01/17,03:45:00,33.2,56
01/01/17,04:00:00,33.2,54
01/01/17,04:15:00,33,58
01/01/17,04:30:00,32.8,57
01/01/17,04:45:00,32.5,60
01/01/17,05:00:00,31.3,61
01/01/17,05:15:00,31.5,61
01/01/17,05:30:00,31.8,57
01/01/17,05:45:00,32.3,55
